Channel			  :,CH2
Frequency			  :,F=411.7kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=5.680V
Average			  :,V=3.514V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
1021,4800.00
1022,4880.00
1023,4880.00
1024,4800.00
1025,4880.00
1026,4720.00
1027,4720.00
1028,4800.00
1029,4800.00
1030,4800.00
1031,4800.00
1032,4800.00
1033,4720.00
1034,4720.00
1035,4640.00
1036,4880.00
1037,4720.00
1038,4720.00
1039,4800.00
1040,4800.00
1041,4880.00
1042,4800.00
1043,4800.00
1044,4880.00
1045,4720.00
1046,4880.00
1047,4720.00
1048,4800.00
1049,4800.00
1050,4800.00
1051,4800.00
1052,4640.00
1053,4720.00
1054,4720.00
1055,0.00
1056,0.00
1057,0.00
1058,0.00
1059,0.00
1060,0.00
1061,0.00
1062,80.00
1063,0.00
1064,0.00
1065,0.00
1066,0.00
1067,4720.00
1068,4800.00
1069,4880.00
1070,4800.00
1071,4800.00
1072,4880.00
1073,4800.00
1074,4720.00
1075,4800.00
1076,4880.00
1077,4800.00
1078,4880.00
1079,4800.00
1080,4800.00
1081,4800.00
1082,4800.00
1083,4720.00
1084,4880.00
1085,4720.00
1086,4720.00
1087,4720.00
1088,4800.00
1089,4720.00
1090,4720.00
1091,4720.00
1092,4880.00
1093,4800.00
1094,4720.00
1095,4720.00
1096,4800.00
1097,4800.00
1098,4720.00
1099,4880.00
1100,4800.00
1101,4720.00
1102,4800.00
1103,4880.00
1104,1360.00
1105,-80.00
1106,-80.00
1107,-80.00
1108,80.00
1109,80.00
1110,0.00
1111,0.00
1112,0.00
1113,0.00
1114,0.00
1115,0.00
1116,3280.00
1117,4800.00
1118,4800.00
1119,4800.00
1120,4720.00
1121,4800.00
1122,4800.00
1123,4800.00
1124,4800.00
1125,4800.00
1126,4880.00
1127,4880.00
1128,4800.00
1129,4640.00
1130,4800.00
1131,4720.00
1132,4720.00
1133,4800.00
1134,4880.00
1135,4720.00
1136,4720.00
1137,4720.00
1138,4800.00
1139,4800.00
1140,4800.00
1141,4720.00
1142,4880.00
1143,4800.00
1144,4800.00
1145,4800.00
1146,4720.00
1147,4880.00
1148,4800.00
1149,4800.00
1150,4800.00
1151,4800.00
1152,4800.00
1153,4720.00
1154,160.00
1155,80.00
1156,160.00
1157,80.00
1158,80.00
1159,160.00
1160,160.00
1161,160.00
1162,160.00
1163,0.00
1164,160.00
1165,160.00
1166,4800.00
1167,4800.00
1168,4720.00
1169,4800.00
1170,4720.00
1171,4960.00
1172,4880.00
1173,4800.00
1174,4720.00
1175,4880.00
1176,4880.00
1177,4640.00
1178,4800.00
1179,4720.00
1180,4720.00
1181,4800.00
1182,4720.00
1183,4800.00
1184,4800.00
1185,4720.00
1186,4800.00
1187,4800.00
1188,4880.00
1189,4720.00
1190,4720.00
1191,4800.00
1192,4800.00
1193,4800.00
1194,4960.00
1195,4880.00
1196,4880.00
1197,4800.00
1198,4720.00
1199,4800.00
1200,4720.00
1201,4880.00
1202,0.00
1203,80.00
1204,80.00
1205,80.00
1206,0.00
1207,80.00
1208,80.00
1209,80.00
1210,160.00
1211,160.00
1212,160.00
1213,160.00
1214,4800.00
1215,4800.00
1216,4880.00
1217,4800.00
1218,4720.00
1219,4800.00
1220,4720.00
1221,4800.00
1222,4880.00
1223,4800.00
1224,4720.00
1225,4880.00
1226,4800.00
1227,4720.00
1228,4800.00
1229,4800.00
1230,4800.00
1231,4720.00
1232,4880.00
1233,4800.00
1234,4800.00
1235,4800.00
1236,4800.00
1237,4640.00
1238,4800.00
1239,4800.00
1240,4800.00
1241,4960.00
1242,4880.00
1243,4720.00
1244,4720.00
1245,4720.00
1246,4800.00
1247,4800.00
1248,4720.00
1249,160.00
1250,0.00
1251,80.00
1252,80.00
1253,0.00
1254,80.00
1255,160.00
1256,80.00
1257,160.00
1258,160.00
1259,80.00
1260,80.00
1261,3440.00
1262,4800.00
1263,4880.00
1264,4880.00
1265,4960.00
1266,4720.00
1267,4720.00
1268,4800.00
1269,4720.00
1270,4720.00
1271,4880.00
1272,4880.00
1273,4960.00
1274,4800.00
1275,4800.00
1276,4800.00
1277,4800.00
1278,4800.00
1279,4720.00
1280,4800.00
1281,4800.00
1282,4720.00
1283,4720.00
1284,4800.00
1285,4720.00
1286,4800.00
1287,4800.00
1288,4880.00
1289,4720.00
1290,4880.00
1291,4800.00
1292,4720.00
1293,4800.00
1294,4800.00
1295,4800.00
1296,4800.00
1297,4800.00
1298,4800.00
1299,4800.00
1300,4800.00
1301,160.00
1302,80.00
1303,80.00
1304,80.00
1305,160.00
1306,80.00
1307,160.00
1308,160.00
1309,160.00
1310,-80.00
1311,0.00
1312,80.00
1313,4560.00
1314,4880.00
1315,4880.00
1316,4800.00
1317,4800.00
1318,4800.00
1319,4720.00
1320,4720.00
1321,4800.00
1322,4720.00
1323,4720.00
1324,4720.00
1325,4800.00
1326,4720.00
1327,4720.00
1328,4720.00
1329,4720.00
1330,4720.00
1331,4800.00
1332,4720.00
1333,4720.00
1334,4800.00
1335,4640.00
1336,4720.00
1337,4880.00
1338,4800.00
1339,4720.00
1340,4800.00
1341,4800.00
1342,4800.00
1343,4800.00
1344,4800.00
1345,4720.00
1346,4800.00
1347,4640.00
1348,4720.00
1349,4720.00
1350,4720.00
1351,4880.00
1352,4720.00
1353,4880.00
1354,4720.00
1355,4880.00
1356,4800.00
1357,4720.00
1358,4800.00
1359,4720.00
1360,4800.00
1361,4800.00
1362,4880.00
1363,4800.00
1364,4800.00
1365,4880.00
1366,4720.00
1367,4800.00
1368,4800.00
1369,4800.00
1370,4880.00
1371,4800.00
1372,4800.00
1373,4800.00
1374,4720.00
1375,4800.00
1376,4800.00
1377,4800.00
1378,4720.00
1379,4720.00
1380,4720.00
1381,4800.00
1382,4800.00
1383,4720.00
1384,4800.00
1385,4880.00
1386,4720.00
1387,4800.00
1388,4720.00
1389,4880.00
1390,4800.00
1391,4640.00
1392,4720.00
1393,4720.00
1394,4720.00
1395,4720.00
1396,4720.00
1397,4880.00
1398,4880.00
1399,4880.00
1400,4720.00
1401,4720.00
1402,4800.00
1403,4800.00
1404,4800.00
1405,4880.00
1406,4880.00
1407,4960.00
1408,4800.00
1409,4880.00
1410,4800.00
1411,4720.00
1412,4800.00
1413,4800.00
1414,4640.00
1415,4800.00
1416,4800.00
1417,4720.00
1418,4880.00
1419,4720.00
1420,4800.00
1421,4800.00
1422,4720.00
1423,4720.00
1424,4800.00
1425,4720.00
1426,4720.00
1427,4800.00
1428,4960.00
1429,4800.00
1430,4800.00
1431,4800.00
1432,4800.00
1433,4640.00
1434,4880.00
1435,4640.00
1436,4640.00
1437,4880.00
1438,4880.00
1439,4640.00
1440,4800.00
1441,4720.00
1442,4800.00
1443,4800.00
