Channel			  :,CH2
Frequency			  :,F=937.6kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=4.244V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.02uS

index,CH2_Voltage(mV)
1308,4880.00
1309,4720.00
1310,4880.00
1311,4800.00
1312,4800.00
1313,4720.00
1314,4800.00
1315,4880.00
1316,4800.00
1317,4800.00
1318,4720.00
1319,4800.00
1320,4720.00
1321,4800.00
1322,4800.00
1323,4720.00
1324,4800.00
1325,4720.00
1326,4800.00
1327,4800.00
1328,4720.00
1329,4800.00
1330,4640.00
1331,4800.00
1332,4800.00
1333,4880.00
1334,4640.00
1335,4800.00
1336,4880.00
1337,4880.00
1338,4720.00
1339,4800.00
1340,4800.00
1341,4800.00
1342,4800.00
1343,4720.00
1344,4720.00
1345,4720.00
1346,4800.00
1347,4800.00
1348,4880.00
1349,4720.00
1350,4720.00
1351,4800.00
1352,4800.00
1353,4720.00
1354,4800.00
1355,4800.00
1356,4800.00
1357,4800.00
1358,4720.00
1359,4720.00
1360,4800.00
1361,4800.00
1362,4800.00
1363,4720.00
1364,4720.00
1365,4640.00
1366,4800.00
1367,4800.00
1368,4720.00
1369,4720.00
1370,4720.00
1371,4800.00
1372,4720.00
1373,4720.00
1374,4720.00
1375,4720.00
1376,4720.00
1377,4800.00
1378,4640.00
1379,4720.00
1380,4640.00
1381,4800.00
1382,4720.00
1383,4720.00
1384,4800.00
1385,4640.00
1386,4720.00
1387,4800.00
1388,4720.00
1389,4720.00
1390,4720.00
1391,4800.00
1392,4720.00
1393,4800.00
1394,4800.00
1395,4640.00
1396,4800.00
1397,4720.00
1398,4720.00
1399,4800.00
1400,4800.00
1401,4720.00
1402,4800.00
1403,4720.00
1404,4640.00
1405,4720.00
1406,4800.00
1407,4800.00
1408,4720.00
1409,4720.00
1410,4720.00
1411,4720.00
1412,4720.00
1413,4720.00
1414,4720.00
1415,4800.00
1416,4800.00
1417,4720.00
1418,4800.00
1419,4640.00
1420,4800.00
1421,4800.00
1422,4800.00
1423,4800.00
1424,4720.00
1425,4880.00
1426,4800.00
1427,4720.00
1428,4720.00
1429,4720.00
1430,4800.00
1431,4720.00
1432,4720.00
1433,4640.00
1434,4640.00
1435,4720.00
1436,4800.00
1437,4880.00
1438,4720.00
1439,4800.00
1440,4800.00
1441,4800.00
1442,4720.00
1443,4720.00
1444,4720.00
1445,4880.00
1446,4720.00
1447,4720.00
1448,4800.00
1449,4800.00
1450,4800.00
1451,4800.00
1452,4720.00
1453,4800.00
1454,4720.00
1455,4720.00
1456,4720.00
1457,4800.00
1458,4720.00
1459,4640.00
1460,4800.00
1461,4800.00
1462,4800.00
1463,4720.00
1464,4720.00
1465,4800.00
1466,4720.00
1467,4720.00
1468,4640.00
1469,4720.00
1470,4720.00
1471,4800.00
1472,4800.00
1473,4640.00
1474,4800.00
1475,4720.00
1476,4800.00
1477,4720.00
1478,4720.00
1479,4640.00
1480,4880.00
1481,4800.00
1482,4800.00
1483,4800.00
1484,4800.00
1485,4880.00
1486,4800.00
1487,4720.00
1488,4720.00
1489,4800.00
1490,4800.00
1491,4800.00
1492,4640.00
1493,4720.00
1494,4720.00
1495,4800.00
1496,4800.00
1497,-1360.00
1498,640.00
1499,160.00
1500,0.00
1501,0.00
1502,-80.00
1503,-80.00
1504,-160.00
1505,-80.00
1506,0.00
1507,-160.00
1508,-80.00
1509,0.00
1510,-80.00
1511,0.00
1512,0.00
1513,-80.00
1514,-80.00
1515,0.00
1516,0.00
1517,0.00
1518,0.00
1519,0.00
1520,0.00
1521,0.00
1522,2240.00
1523,4080.00
1524,4640.00
1525,4800.00
1526,4800.00
1527,4800.00
1528,4800.00
1529,4720.00
1530,4720.00
1531,4720.00
1532,4720.00
1533,4800.00
1534,4720.00
1535,4880.00
1536,4800.00
1537,4800.00
1538,4800.00
1539,4800.00
1540,4800.00
1541,4800.00
1542,4720.00
1543,4720.00
1544,4800.00
1545,4720.00
1546,4800.00
1547,4720.00
1548,4640.00
1549,4800.00
1550,4800.00
1551,4800.00
1552,4800.00
1553,4800.00
1554,4880.00
1555,4880.00
1556,4800.00
1557,4880.00
1558,4800.00
1559,4800.00
1560,4720.00
1561,4720.00
1562,4880.00
1563,4720.00
1564,4880.00
1565,4800.00
1566,4800.00
1567,4800.00
1568,4720.00
1569,4720.00
1570,4800.00
1571,4800.00
1572,4720.00
1573,4800.00
1574,4800.00
1575,4880.00
1576,4800.00
1577,4800.00
1578,4800.00
1579,4720.00
1580,4720.00
1581,4720.00
1582,4720.00
1583,4640.00
1584,4880.00
1585,4720.00
1586,4720.00
1587,4720.00
1588,4640.00
1589,4720.00
1590,4880.00
1591,4800.00
1592,4800.00
1593,4720.00
1594,4720.00
1595,4800.00
1596,4800.00
1597,4800.00
1598,4800.00
1599,4800.00
1600,4880.00
1601,4720.00
1602,4640.00
1603,4880.00
1604,4720.00
1605,4720.00
1606,4800.00
1607,4880.00
1608,4720.00
1609,4720.00
1610,4720.00
1611,4800.00
1612,4880.00
1613,4720.00
1614,4720.00
1615,4720.00
1616,4800.00
1617,4800.00
1618,4720.00
1619,4720.00
1620,4640.00
1621,4800.00
1622,4720.00
1623,4640.00
1624,4720.00
1625,4720.00
1626,4720.00
1627,4800.00
1628,4880.00
1629,4720.00
1630,4720.00
1631,4800.00
1632,4800.00
1633,4640.00
1634,4800.00
1635,4720.00
1636,4800.00
